sdz2021_code,statistic,value
N21000062,Access to Services Domain (Rank),328
N21000063,Multiple Deprivation Measure (Rank),781
N21000063,Income Domain (Rank),798
N21000063,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,61
N21000063,Employment Domain (18-64 years) (Rank),784
N21000063,Proportion of the working age population who are employment deprived,64
N21000063,Health Deprivation and Disability Domain (Rank),701
N21000063,"Education, Skills and Training Domain (Rank)",688
N21000063,Access to Services Domain (Rank),458
N21000064,Multiple Deprivation Measure (Rank),669
N21000064,Income Domain (Rank),722
N21000064,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,149
N21000064,Employment Domain (18-64 years) (Rank),685
N21000064,Proportion of the working age population who are employment deprived,153
N21000064,Health Deprivation and Disability Domain (Rank),650
N21000064,"Education, Skills and Training Domain (Rank)",617
N21000064,Access to Services Domain (Rank),192
N21000065,Multiple Deprivation Measure (Rank),690
N21000065,Income Domain (Rank),638
N21000065,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,223
N21000065,Employment Domain (18-64 years) (Rank),743
N21000065,Proportion of the working age population who are employment deprived,106
N21000065,Health Deprivation and Disability Domain (Rank),750
N21000065,"Education, Skills and Training Domain (Rank)",761
N21000065,Access to Services Domain (Rank),85
N21000066,Multiple Deprivation Measure (Rank),662
N21000066,Income Domain (Rank),682
N21000066,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,184
N21000066,Employment Domain (18-64 years) (Rank),660
N21000066,Proportion of the working age population who are employment deprived,173
N21000066,Health Deprivation and Disability Domain (Rank),541
N21000066,"Education, Skills and Training Domain (Rank)",610
N21000066,Access to Services Domain (Rank),230
N21000067,Multiple Deprivation Measure (Rank),663
N21000067,Income Domain (Rank),683
N21000067,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,185
N21000067,Employment Domain (18-64 years) (Rank),661
N21000067,Proportion of the working age population who are employment deprived,174
N21000067,Health Deprivation and Disability Domain (Rank),542
N21000067,"Education, Skills and Training Domain (Rank)",611
N21000067,Access to Services Domain (Rank),231
N21000068,Multiple Deprivation Measure (Rank),570
N21000068,Income Domain (Rank),457
N21000068,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,371
N21000068,Employment Domain (18-64 years) (Rank),626
N21000068,Proportion of the working age population who are employment deprived,183
N21000068,Health Deprivation and Disability Domain (Rank),641
N21000068,"Education, Skills and Training Domain (Rank)",675
N21000068,Access to Services Domain (Rank),113
N21000069,Multiple Deprivation Measure (Rank),431
N21000069,Income Domain (Rank),255
N21000069,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,629
N21000069,Employment Domain (18-64 years) (Rank),436
N21000069,Proportion of the working age population who are employment deprived,405
N21000069,Health Deprivation and Disability Domain (Rank),482
N21000069,"Education, Skills and Training Domain (Rank)",467
N21000069,Access to Services Domain (Rank),518
N21000070,Multiple Deprivation Measure (Rank),289
N21000070,Income Domain (Rank),204
N21000070,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,704
N21000070,Employment Domain (18-64 years) (Rank),303
N21000070,Proportion of the working age population who are employment deprived,531
N21000070,Health Deprivation and Disability Domain (Rank),316
